Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret,IntDen,Median,Skew,Kurt
51,103,1265461,12286.029,96.547,33.681,33.728,60.779,20.987,13.113,37.353,0.704,0.924,23.107,580.243,784.350,133.254,12.138,274940.718,33.786,-1.092,0.287
52,126,1254230,9954.206,95.690,33.720,33.746,50.138,17.533,10.797,34.659,0.741,0.941,19.218,569.071,797.222,144.539,10.012,224448.595,33.794,-0.772,0.028
53,26,1280054,49232.846,97.660,33.291,33.115,187.807,59.753,45.690,38.018,0.785,0.964,67.876,585.885,594.731,144.028,41.215,1089962.077,33.346,-0.767,4.962
54,200,1224966,6124.830,93.457,33.760,33.820,58.979,14.207,7.394,36.400,0.748,0.933,15.696,507.960,842.475,134.835,7.125,138740.580,33.840,-0.978,-0.045
55,233,1217624,5225.854,92.897,33.766,33.815,46.756,11.464,6.434,33.479,0.780,0.953,12.391,524.305,852.996,139.726,6.136,119127.687,33.845,-0.749,-0.546
56,236,1219997,5169.479,93.078,33.826,33.873,36.394,12.566,6.774,31.852,0.763,0.921,14.064,538.284,830.034,137.788,6.559,118096.864,33.911,-0.898,-0.337
57,212,1227892,5791.943,93.681,33.809,33.863,52.503,12.317,7.153,33.500,0.799,0.940,13.561,522.170,859.821,141.007,6.860,131188.896,33.896,-1.015,1.358
58,193,1232322,6385.088,94.019,33.793,33.896,57.151,14.041,7.733,32.374,0.739,0.934,15.240,545.062,826.155,140.170,7.339,144470.642,33.912,-0.955,-0.294
